#{"t_start": 1663353321.2104661, "env_id": "PredatorPrey-v0"}
r,l,t
-20.0,200,1.680712
-20.0,200,1.733086
-20.0,200,1.78859
-20.0,200,1.84104
-20.0,200,1.893569
-20.0,200,1.945452
-20.0,200,1.997123
-20.0,200,2.048897
-20.0,200,2.100808
-20.0,200,2.152921
-20.0,200,2.204965
-20.0,200,2.257096
-20.0,200,2.309181
-20.0,200,2.361141
-20.0,200,2.41348
-20.0,200,2.46545
-20.0,200,2.517325
-20.0,200,2.569529
-20.0,200,2.621831
-20.0,200,2.674054
-20.0,200,2.726358
1.0,1,2.726697
-20.0,200,2.778973
-20.0,200,2.831854
-20.0,200,2.884194
-20.0,200,2.936288
-20.0,200,2.988355
-20.0,200,3.040257
-20.0,200,3.092242
-20.0,200,3.14425
-20.0,200,3.196242
-20.0,200,3.248258
-20.0,200,3.300289
-20.0,200,3.352409
-20.0,200,3.404344
-0.6,17,3.408824
-20.0,200,3.460783
-20.0,200,3.512842
-20.0,200,3.564736
-20.0,200,3.616633
-20.0,200,3.668545
-20.0,200,3.720488
-20.0,200,3.772406
-20.0,200,3.824748
-20.0,200,3.876713
-20.0,200,3.928752
-20.0,200,3.98079
-20.0,200,4.03273
-20.0,200,4.084879
-20.0,200,4.136967
-20.0,200,4.189279
-20.0,200,4.241356
-20.0,200,4.293536
-20.0,200,4.345629
-20.0,200,4.397914
-20.0,200,4.450113
-20.0,200,4.502215
-20.0,200,4.554303
-20.0,200,4.606438
-20.0,200,4.658578
-20.0,200,4.71071
-20.0,200,4.762765
-20.0,200,4.815332
-0.7,18,4.820112
-20.0,200,4.872495
-20.0,200,4.92473
-20.0,200,4.976859
-20.0,200,5.029078
-20.0,200,5.08127
-20.0,200,5.133293
-20.0,200,5.185455
-20.0,200,5.237666
-20.0,200,5.28993
-20.0,200,5.342204
-20.0,200,5.3944
-20.0,200,5.446604
-20.0,200,5.498795
-20.0,200,5.550998
-20.0,200,5.603026
-20.0,200,5.655419
-12.6,137,5.691292
-20.0,200,5.743419
-20.0,200,5.795582
-20.0,200,5.847743
-20.0,200,5.900037
-20.0,200,5.952359
-20.0,200,6.004449
-20.0,200,6.056562
-20.0,200,6.108774
-20.0,200,6.161047
-20.0,200,6.213249
-20.0,200,6.265399
-20.0,200,6.317648
1.0,1,6.317994
-20.0,200,6.370268
-20.0,200,6.422309
-20.0,200,6.474483
-20.0,200,6.526749
-20.0,200,6.579038
-20.0,200,6.631271
-20.0,200,25.317504
-20.0,200,25.370662
-20.0,200,25.423145
-8.1,92,25.447384
-20.0,200,25.500005
-20.0,200,25.552584
-20.0,200,25.605128
-20.0,200,25.657968
-20.0,200,25.710278
-20.0,200,25.762728
-20.0,200,25.815242
-20.0,200,25.867809
-20.0,200,25.920589
-20.0,200,25.973264
-20.0,200,26.025632
-20.0,200,26.078059
-20.0,200,26.13062
-20.0,200,26.182922
-20.0,200,26.235437
-20.0,200,26.288391
-20.0,200,26.34102
-20.0,200,26.393607
-20.0,200,26.446293
-20.0,200,26.498964
-20.0,200,26.551541
-20.0,200,26.603872
-20.0,200,26.656478
-20.0,200,26.70906
-20.0,200,26.761231
-20.0,200,26.81382
-20.0,200,26.866309
-20.0,200,26.918712
-20.0,200,26.971218
-20.0,200,27.02383
-20.0,200,27.076198
-20.0,200,27.128377
-20.0,200,27.18052
-13.7,148,27.219166
-20.0,200,27.271461
-20.0,200,27.323698
-20.0,200,27.375954
-20.0,200,27.428474
-20.0,200,27.480558
-20.0,200,27.532676
-20.0,200,27.585028
-20.0,200,27.637345
-8.9,100,27.663435
-20.0,200,27.715614
-20.0,200,27.767681
-20.0,200,27.819793
-20.0,200,27.871866
-20.0,200,27.924027
-20.0,200,27.976197
-13.7,148,28.014936
-20.0,200,28.067313
-20.0,200,28.119447
-20.0,200,28.171585
-20.0,200,28.223692
-20.0,200,28.276198
-20.0,200,28.328696
-20.0,200,28.381195
-20.0,200,28.433444
-20.0,200,28.485573
-20.0,200,28.5379
-20.0,200,28.590107
-20.0,200,28.642332
-20.0,200,28.694377
-20.0,200,28.746439
-20.0,200,28.79855
-20.0,200,28.850837
-20.0,200,28.903185
-20.0,200,28.955278
-20.0,200,29.007563
-20.0,200,29.059825
-10.2,113,29.089297
-20.0,200,29.141543
-20.0,200,29.193621
-20.0,200,29.245798
-20.0,200,29.29796
-20.0,200,29.350472
-20.0,200,29.402819
-20.0,200,29.454818
-20.0,200,29.506809
-20.0,200,29.559271
-20.0,200,29.611491
-20.0,200,29.663831
0.6,5,29.665224
-20.0,200,29.71752
-20.0,200,29.769891
-20.0,200,29.822164
-15.2,163,29.864671
-20.0,200,29.916907
-20.0,200,29.969249
-20.0,200,30.021708
-20.0,200,30.07412
-20.0,200,30.126608
-20.0,200,30.178699
-20.0,200,30.231007
-20.0,200,30.283248
-20.0,200,30.335632
-20.0,200,48.944865
-20.0,200,48.99744
-20.0,200,49.050149
-20.0,200,49.10241
-20.0,200,49.15503
-20.0,200,49.207414
-20.0,200,49.259607
-20.0,200,49.312172
-20.0,200,49.36452
-20.0,200,49.416742
-20.0,200,49.469208
-20.0,200,49.521676
-20.0,200,49.574287
-20.0,200,49.626843
1.0,1,49.6272
-20.0,200,49.6798
-20.0,200,49.732354
-20.0,200,49.785274
-20.0,200,49.837667
-20.0,200,49.890067
-20.0,200,49.942796
-20.0,200,49.995353
-20.0,200,50.047955
-20.0,200,50.100604
-20.0,200,50.153275
-20.0,200,50.205814
-20.0,200,50.258422
-20.0,200,50.310879
-20.0,200,50.363296
-20.0,200,50.415954
-20.0,200,50.468538
-20.0,200,50.521165
-20.0,200,50.573882
-20.0,200,50.627578
-1.1,22,50.633455
-20.0,200,50.686378
-20.0,200,50.739054
-20.0,200,50.79186
-20.0,200,50.844282
-20.0,200,50.896936
-20.0,200,50.949654
-20.0,200,51.002373
-20.0,200,51.054883
-20.0,200,51.107413
-20.0,200,51.159778
-20.0,200,51.212204
-20.0,200,51.264743
-20.0,200,51.317253
-20.0,200,51.369703
-20.0,200,51.422349
-20.0,200,51.47482
-20.0,200,51.527339
-20.0,200,51.579884
-20.0,200,51.632483
-20.0,200,51.685374
-20.0,200,51.738215
-20.0,200,51.79109
-20.0,200,51.843618
-20.0,200,51.896341
-20.0,200,51.948821
-20.0,200,52.001291
-20.0,200,52.054019
-20.0,200,52.10655
-20.0,200,52.159279
-20.0,200,52.211915
-20.0,200,52.264303
-20.0,200,52.316969
-20.0,200,52.369393
-20.0,200,52.421658
-20.0,200,52.474097
-20.0,200,52.526867
-20.0,200,52.57935
-20.0,200,52.63207
-20.0,200,52.685097
-20.0,200,52.737679
-20.0,200,52.790659
-20.0,200,52.843492
-20.0,200,52.895914
-20.0,200,52.948745
-20.0,200,53.001673
-20.0,200,53.054182
-20.0,200,53.106998
-20.0,200,53.159822
-20.0,200,53.212311
-20.0,200,53.26508
-20.0,200,53.317662
-20.0,200,53.369903
-20.0,200,53.42284
-20.0,200,53.475645
-20.0,200,53.528047
-20.0,200,53.580574
-20.0,200,53.633195
-20.0,200,53.685653
-20.0,200,53.738417
-20.0,200,53.791317
-20.0,200,53.843881
-18.8,199,53.896462
-20.0,200,53.949565
-20.0,200,54.002325
-20.0,200,54.055393
-20.0,200,72.631057
-20.0,200,72.683494
-20.0,200,72.73594
-20.0,200,72.788538
-20.0,200,72.840948
-20.0,200,72.893674
-20.0,200,72.946198
-20.0,200,72.998873
-20.0,200,73.052127
-20.0,200,73.10469
-20.0,200,73.157374
-20.0,200,73.209765
-20.0,200,73.262348
-20.0,200,73.314926
-20.0,200,73.367381
-20.0,200,73.420154
-20.0,200,73.472822
-20.0,200,73.525687
-20.0,200,73.578423
-20.0,200,73.631516
-20.0,200,73.684242
-20.0,200,73.736981
-20.0,200,73.789806
-20.0,200,73.842169
-20.0,200,73.894869
-20.0,200,73.947563
-20.0,200,74.000344
-20.0,200,74.052909
-20.0,200,74.105597
-20.0,200,74.158357
-20.0,200,74.210962
-20.0,200,74.263825
-20.0,200,74.31665
-20.0,200,74.36921
-20.0,200,74.422165
-4.9,60,74.438172
-20.0,200,74.490683
-20.0,200,74.543319
-0.8,19,74.548401
-20.0,200,74.600764
-0.4,15,74.604795
-20.0,200,74.657199
-20.0,200,74.70987
-20.0,200,74.76249
-20.0,200,74.814863
-20.0,200,74.867532
-20.0,200,74.920074
-20.0,200,74.972425
-20.0,200,75.025036
-20.0,200,75.077523
-20.0,200,75.130099
-20.0,200,75.183033
-20.0,200,75.235578
-20.0,200,75.288311
-20.0,200,75.340943
