#{"t_start": 1663264070.5456953, "env_id": "InvertedPendulum-v2"}
r,l,t
14.0,14,0.223693
15.0,15,0.228019
15.0,15,0.232264
14.0,14,0.236155
13.0,13,0.239813
15.0,15,0.243944
15.0,15,0.248124
13.0,13,0.251717
16.0,16,0.256122
15.0,15,0.260238
13.0,13,0.476906
14.0,14,0.480806
14.0,14,0.484721
15.0,15,0.488857
13.0,13,0.492499
15.0,15,0.496627
14.0,14,0.500506
12.0,12,0.503822
15.0,15,0.507949
14.0,14,0.511807
13.0,13,0.721845
15.0,15,0.726022
15.0,15,0.730173
14.0,14,0.734045
13.0,13,0.737659
13.0,13,0.741258
15.0,15,0.745389
13.0,13,0.748968
13.0,13,0.752556
13.0,13,0.756149
13.0,13,0.966284
13.0,13,0.970003
15.0,15,0.974183
15.0,15,0.978331
15.0,15,0.982502
13.0,13,0.98611
13.0,13,0.989733
15.0,15,0.993863
13.0,13,0.997515
12.0,12,1.00089
15.0,15,1.21691
15.0,15,1.221081
13.0,13,1.224716
13.0,13,1.228337
15.0,15,1.232485
15.0,15,1.236617
14.0,14,1.24048
14.0,14,1.244346
13.0,13,1.247951
15.0,15,1.252131
13.0,13,1.461441
13.0,13,1.465053
14.0,14,1.46891
14.0,14,1.472755
13.0,13,1.476337
13.0,13,1.479927
15.0,15,1.484018
14.0,14,1.487885
12.0,12,1.491204
14.0,14,1.495054
15.0,15,1.706039
15.0,15,1.710187
14.0,14,1.714053
13.0,13,1.717645
15.0,15,1.721787
15.0,15,1.725923
13.0,13,1.729564
14.0,14,1.733446
14.0,14,1.737337
14.0,14,1.741225
14.0,14,1.951346
15.0,15,1.955486
15.0,15,1.959616
14.0,14,1.963459
15.0,15,1.967572
14.0,14,1.971385
15.0,15,1.975472
14.0,14,1.979326
13.0,13,1.982946
13.0,13,1.986548
13.0,13,2.198986
15.0,15,2.203152
12.0,12,2.206521
15.0,15,2.210662
16.0,16,2.215077
14.0,14,2.218944
13.0,13,2.222558
14.0,14,2.226431
13.0,13,2.230043
14.0,14,2.233916
15.0,15,2.452766
14.0,14,2.456645
13.0,13,2.460249
14.0,14,2.46411
14.0,14,2.467963
13.0,13,2.471541
15.0,15,2.475673
14.0,14,2.479521
15.0,15,2.483652
13.0,13,2.487284
45.0,45,5.849904
43.0,43,5.861667
44.0,44,5.873667
42.0,42,5.885074
46.0,46,5.897563
43.0,43,5.909206
43.0,43,5.920858
44.0,44,5.93277
45.0,45,5.94491
45.0,45,5.957095
44.0,44,9.177777
49.0,49,9.191151
46.0,46,9.203644
48.0,48,9.216623
47.0,47,9.229376
48.0,48,9.242423
48.0,48,9.255556
48.0,48,9.2688
45.0,45,9.280974
47.0,47,9.293688
61.0,61,12.441632
62.0,62,12.458467
56.0,56,12.473632
52.0,52,12.487671
59.0,59,12.503711
53.0,53,12.518147
54.0,54,12.532653
54.0,54,12.547142
55.0,55,12.56193
53.0,53,12.57615
73.0,73,15.707172
67.0,67,15.72525
99.0,99,15.75185
67.0,67,15.769926
101.0,101,15.79692
76.0,76,15.817315
107.0,107,15.845989
69.0,69,15.864486
89.0,89,15.888355
73.0,73,15.908009
58.0,58,19.34371
62.0,62,19.360452
57.0,57,19.375827
60.0,60,19.391982
69.0,69,19.410528
60.0,60,19.42666
56.0,56,19.441745
56.0,56,19.45686
59.0,59,19.472736
61.0,61,19.489198
92.0,92,22.712453
86.0,86,22.735667
121.0,121,22.768078
98.0,98,22.794328
97.0,97,22.820403
102.0,102,22.84774
83.0,83,22.870075
110.0,110,22.899475
80.0,80,22.92094
110.0,110,22.950384
56.0,56,26.133194
55.0,55,26.14817
55.0,55,26.163102
54.0,54,26.177763
55.0,55,26.192682
53.0,53,26.20703
58.0,58,26.22274
53.0,53,26.237093
54.0,54,26.25171
54.0,54,26.266346
65.0,65,29.507937
60.0,60,29.524277
62.0,62,29.541141
61.0,61,29.557661
61.0,61,29.57418
63.0,63,29.5912
59.0,59,29.6071
62.0,62,29.623818
61.0,61,29.640235
60.0,60,29.656429
65.0,65,32.967938
62.0,62,32.984809
62.0,62,33.001652
61.0,61,33.018197
62.0,62,33.037703
62.0,62,33.054466
64.0,64,33.071715
63.0,63,33.088709
63.0,63,33.105871
62.0,62,33.122632
69.0,69,36.263789
68.0,68,36.282146
68.0,68,36.300482
66.0,66,36.318244
67.0,67,36.336278
69.0,69,36.354948
73.0,73,36.37461
68.0,68,36.392864
69.0,69,36.411422
65.0,65,36.428972
1000.0,1000,39.317775
1000.0,1000,39.584071
1000.0,1000,39.850582
