#{"t_start": 1663264213.7308939, "env_id": "InvertedPendulum-v2"}
r,l,t
5.0,5,0.225226
5.0,5,0.227038
5.0,5,0.22857
5.0,5,0.230145
5.0,5,0.231735
5.0,5,0.233311
5.0,5,0.234849
5.0,5,0.23638
5.0,5,0.237887
5.0,5,0.239371
5.0,5,0.453848
5.0,5,0.45538
5.0,5,0.4569
5.0,5,0.458392
5.0,5,0.459897
5.0,5,0.461391
5.0,5,0.462924
5.0,5,0.464446
5.0,5,0.46594
5.0,5,0.467427
5.0,5,0.679037
5.0,5,0.680554
5.0,5,0.68207
5.0,5,0.683572
5.0,5,0.685088
5.0,5,0.686584
5.0,5,0.688079
5.0,5,0.689583
5.0,5,0.691073
5.0,5,0.692564
5.0,5,0.900842
5.0,5,0.902366
5.0,5,0.903874
5.0,5,0.905372
5.0,5,0.906873
5.0,5,0.908365
5.0,5,0.90986
5.0,5,0.911358
5.0,5,0.912848
5.0,5,0.914332
5.0,5,1.12223
5.0,5,1.123855
5.0,5,1.125362
5.0,5,1.126873
5.0,5,1.128374
5.0,5,1.129874
5.0,5,1.131362
5.0,5,1.132875
5.0,5,1.134497
5.0,5,1.135991
5.0,5,1.350116
5.0,5,1.351672
5.0,5,1.353199
5.0,5,1.354711
5.0,5,1.356217
5.0,5,1.357712
5.0,5,1.359221
5.0,5,1.360734
5.0,5,1.362232
5.0,5,1.363727
5.0,5,1.572653
5.0,5,1.57419
5.0,5,1.575701
5.0,5,1.577214
5.0,5,1.578712
5.0,5,1.580218
5.0,5,1.581719
5.0,5,1.583227
5.0,5,1.584722
5.0,5,1.586223
5.0,5,1.792991
5.0,5,1.794524
5.0,5,1.796123
5.0,5,1.797618
5.0,5,1.799123
5.0,5,1.800612
5.0,5,1.802104
5.0,5,1.803603
5.0,5,1.805092
5.0,5,1.806568
5.0,5,2.012423
5.0,5,2.013954
5.0,5,2.01546
5.0,5,2.016965
5.0,5,2.018455
5.0,5,2.019951
5.0,5,2.02144
5.0,5,2.022946
5.0,5,2.024428
5.0,5,2.025915
5.0,5,2.235941
5.0,5,2.237463
5.0,5,2.238982
5.0,5,2.24048
5.0,5,2.241979
5.0,5,2.243465
5.0,5,2.244957
5.0,5,2.246455
5.0,5,2.247947
5.0,5,2.249432
19.0,19,5.604699
17.0,17,5.609527
18.0,18,5.614511
18.0,18,5.619522
18.0,18,5.624501
16.0,16,5.62896
16.0,16,5.633399
18.0,18,5.638339
16.0,16,5.642768
16.0,16,5.647205
25.0,25,8.885575
25.0,25,8.892482
23.0,23,8.898796
24.0,24,8.905397
26.0,26,8.912499
23.0,23,8.918788
23.0,23,8.925086
28.0,28,8.932687
25.0,25,8.939532
24.0,24,8.946113
50.0,50,12.092423
51.0,51,12.106267
54.0,54,12.120862
57.0,57,12.136227
49.0,49,12.14942
58.0,58,12.165174
49.0,49,12.178378
56.0,56,12.19344
48.0,48,12.206351
62.0,62,12.223002
56.0,56,15.505122
50.0,50,15.518619
54.0,54,15.533119
54.0,54,15.547583
52.0,52,15.561512
53.0,53,15.575674
56.0,56,15.590614
56.0,56,15.605563
52.0,52,15.619449
56.0,56,15.634387
61.0,61,18.786368
61.0,61,18.802891
59.0,59,18.818793
59.0,59,18.834658
60.0,60,18.850791
57.0,57,18.866229
58.0,58,18.882038
60.0,60,18.898412
60.0,60,18.914735
62.0,62,18.931606
63.0,63,22.238428
67.0,67,22.256507
73.0,73,22.276068
64.0,64,22.29331
92.0,92,22.318009
63.0,63,22.334946
130.0,130,22.369632
69.0,69,22.388324
80.0,80,22.409746
81.0,81,22.431432
77.0,77,25.537338
67.0,67,25.555435
68.0,68,25.57377
65.0,65,25.591247
61.0,61,25.607665
58.0,58,25.623299
67.0,67,25.641315
61.0,61,25.657656
61.0,61,25.673976
59.0,59,25.689781
80.0,80,28.996544
64.0,64,29.013863
51.0,51,29.027647
94.0,94,29.05306
48.0,48,29.066088
51.0,51,29.079919
56.0,56,29.09507
54.0,54,29.10964
65.0,65,29.127092
98.0,98,29.15335
65.0,65,32.369466
95.0,95,32.395188
71.0,71,32.414368
62.0,62,32.431104
59.0,59,32.447017
79.0,79,32.4683
74.0,74,32.488184
75.0,75,32.508296
52.0,52,32.522292
51.0,51,32.536041
65.0,65,35.750173
50.0,50,35.763779
56.0,56,35.7789
82.0,82,35.800913
55.0,55,35.815735
