#{"t_start": 1663264078.0655491, "env_id": "InvertedPendulum-v2"}
r,l,t
11.0,11,0.228102
11.0,11,0.231283
11.0,11,0.23449
11.0,11,0.237627
10.0,10,0.240459
10.0,10,0.243297
11.0,11,0.246367
11.0,11,0.249404
11.0,11,0.25248
10.0,10,0.255287
10.0,10,0.475253
10.0,10,0.47813
11.0,11,0.481241
10.0,10,0.484101
11.0,11,0.487207
10.0,10,0.490056
11.0,11,0.493204
11.0,11,0.496315
10.0,10,0.499142
10.0,10,0.501977
10.0,10,0.711867
10.0,10,0.714722
11.0,11,0.717834
10.0,10,0.720669
11.0,11,0.723767
10.0,10,0.726574
11.0,11,0.72964
11.0,11,0.7327
10.0,10,0.735495
11.0,11,0.738564
10.0,10,0.949421
11.0,11,0.952545
11.0,11,0.955657
11.0,11,0.958781
11.0,11,0.961884
10.0,10,0.964716
11.0,11,0.967815
10.0,10,0.970624
11.0,11,0.973683
10.0,10,0.976474
11.0,11,1.190001
11.0,11,1.193132
11.0,11,1.196234
10.0,10,1.199083
10.0,10,1.201923
11.0,11,1.20502
11.0,11,1.208131
11.0,11,1.21124
10.0,10,1.214095
11.0,11,1.217189
10.0,10,1.435469
10.0,10,1.438318
11.0,11,1.441402
10.0,10,1.444246
10.0,10,1.447062
10.0,10,1.449868
10.0,10,1.452685
10.0,10,1.455484
11.0,11,1.458553
11.0,11,1.461623
10.0,10,1.669289
10.0,10,1.672112
10.0,10,1.674914
10.0,10,1.677728
10.0,10,1.680516
11.0,11,1.683584
11.0,11,1.686663
11.0,11,1.68973
10.0,10,1.692521
11.0,11,1.695593
11.0,11,1.90596
10.0,10,1.9088
10.0,10,1.911614
11.0,11,1.914717
11.0,11,1.917778
11.0,11,1.921007
11.0,11,1.924085
11.0,11,1.927203
10.0,10,1.930019
11.0,11,1.933084
10.0,10,2.143152
11.0,11,2.146288
10.0,10,2.149133
11.0,11,2.152251
10.0,10,2.155096
10.0,10,2.157939
11.0,11,2.161034
10.0,10,2.163836
10.0,10,2.166629
11.0,11,2.169701
11.0,11,2.379262
10.0,10,2.382089
10.0,10,2.384902
11.0,11,2.387982
10.0,10,2.390776
10.0,10,2.393567
11.0,11,2.396644
11.0,11,2.399728
11.0,11,2.40279
10.0,10,2.405587
40.0,40,5.707644
37.0,37,5.717628
38.0,38,5.727871
39.0,39,5.73831
38.0,38,5.748466
37.0,37,5.758398
38.0,38,5.7686
38.0,38,5.778783
39.0,39,5.789219
37.0,37,5.79915
45.0,45,9.107891
51.0,51,9.121497
49.0,49,9.134488
47.0,47,9.146997
46.0,46,9.159214
49.0,49,9.172209
45.0,45,9.184159
48.0,48,9.196838
49.0,49,9.20981
48.0,48,9.222569
58.0,58,12.310735
55.0,55,12.32554
56.0,56,12.340531
56.0,56,12.355573
55.0,55,12.370356
56.0,56,12.385329
58.0,58,12.400828
58.0,58,12.416296
59.0,59,12.432031
59.0,59,12.447826
51.0,51,15.765783
51.0,51,15.779428
50.0,50,15.792729
51.0,51,15.806299
53.0,53,15.820435
50.0,50,15.833844
50.0,50,15.847162
49.0,49,15.860246
48.0,48,15.8731
50.0,50,15.886425
50.0,50,19.114962
52.0,52,19.128939
50.0,50,19.14234
54.0,54,19.156711
51.0,51,19.170314
51.0,51,19.183945
53.0,53,19.198088
51.0,51,19.211712
49.0,49,19.224814
51.0,51,19.238415
47.0,47,22.490854
48.0,48,22.503718
46.0,46,22.516074
47.0,47,22.528666
47.0,47,22.541227
45.0,45,22.553259
47.0,47,22.565824
45.0,45,22.57785
47.0,47,22.590436
48.0,48,22.60329
50.0,50,25.767355
51.0,51,25.781097
51.0,51,25.794783
51.0,51,25.808482
48.0,48,25.821397
49.0,49,25.834562
51.0,51,25.84821
51.0,51,25.861895
51.0,51,25.875562
51.0,51,25.889248
44.0,44,29.134665
44.0,44,29.146441
45.0,45,29.15842
48.0,48,29.171227
45.0,45,29.183283
46.0,46,29.19557
44.0,44,29.207343
46.0,46,29.219589
46.0,46,29.231856
45.0,45,29.243821
48.0,48,32.452029
46.0,46,32.464454
48.0,48,32.477366
48.0,48,32.490287
48.0,48,32.503191
48.0,48,32.516097
48.0,48,32.528944
48.0,48,32.541782
47.0,47,32.554366
47.0,47,32.566957
51.0,51,35.809694
50.0,50,35.823162
50.0,50,35.836627
52.0,52,35.850614
50.0,50,35.864048
50.0,50,35.877461
49.0,49,35.89061
52.0,52,35.904563
49.0,49,35.917751
51.0,51,35.931447
50.0,50,39.214528
50.0,50,39.228017
49.0,49,39.241161
51.0,51,39.254811
50.0,50,39.268179
50.0,50,39.281582
51.0,51,39.295249
50.0,50,39.308628
50.0,50,39.322052
50.0,50,39.335456
47.0,47,42.566795
47.0,47,42.579418
47.0,47,42.592032
47.0,47,42.604634
48.0,48,42.617497
48.0,48,42.630382
48.0,48,42.643305
48.0,48,42.656138
47.0,47,42.668725
47.0,47,42.681296
59.0,59,45.745283
93.0,93,45.769977
97.0,97,45.795656
87.0,87,45.818743
117.0,117,45.849757
64.0,64,45.866763
72.0,72,45.885906
97.0,97,45.911592
66.0,66,45.929115
62.0,62,45.945582
47.0,47,49.301315
44.0,44,49.313218
44.0,44,49.325066
46.0,46,49.337407
44.0,44,49.349222
58.0,58,49.364662
43.0,43,49.376186
46.0,46,49.388508
45.0,45,49.400742
43.0,43,49.41226
46.0,46,52.690445
44.0,44,52.702324
49.0,49,52.715497
49.0,49,52.728628
44.0,44,52.740452
41.0,41,52.751446
43.0,43,52.762929
42.0,42,52.774214
51.0,51,52.787925
44.0,44,52.799756
151.0,151,56.062572
1000.0,1000,56.326292
1000.0,1000,56.589947
1000.0,1000,56.853366
1000.0,1000,57.11637
1000.0,1000,57.378496
1000.0,1000,57.640764
1000.0,1000,57.903032
1000.0,1000,58.166
1000.0,1000,58.429389
1000.0,1000,61.386955
1000.0,1000,61.649552
1000.0,1000,61.911797
1000.0,1000,62.173934
1000.0,1000,62.435364
1000.0,1000,62.697889
1000.0,1000,62.960436
1000.0,1000,63.222743
1000.0,1000,63.48356
1000.0,1000,63.746164
1000.0,1000,66.410012
1000.0,1000,66.672334
1000.0,1000,66.934232
1000.0,1000,67.196107
1000.0,1000,67.458484
1000.0,1000,67.719579
1000.0,1000,67.980599
1000.0,1000,68.241686
1000.0,1000,68.503001
1000.0,1000,68.765501
1000.0,1000,72.224972
1000.0,1000,72.486531
1000.0,1000,72.748223
1000.0,1000,73.009513
1000.0,1000,73.271062
1000.0,1000,73.532647
1000.0,1000,73.793845
1000.0,1000,74.055534
1000.0,1000,74.317203
1000.0,1000,74.579456
1000.0,1000,78.040843
1000.0,1000,78.303204
1000.0,1000,78.56516
1000.0,1000,78.827339
1000.0,1000,79.0892
1000.0,1000,79.350799
1000.0,1000,79.612348
1000.0,1000,79.874166
1000.0,1000,80.135652
1000.0,1000,80.39694
1000.0,1000,83.858528
1000.0,1000,84.119915
1000.0,1000,84.380989
1000.0,1000,84.642249
1000.0,1000,84.903948
1000.0,1000,85.165169
1000.0,1000,85.426257
1000.0,1000,85.687383
1000.0,1000,85.948988
1000.0,1000,86.210075
1000.0,1000,89.671223
1000.0,1000,89.932609
1000.0,1000,90.19366
1000.0,1000,90.45477
1000.0,1000,90.715675
1000.0,1000,90.975978
1000.0,1000,91.236225
1000.0,1000,91.496588
1000.0,1000,91.756958
1000.0,1000,92.017252
1000.0,1000,95.473658
1000.0,1000,95.735849
1000.0,1000,95.997357
1000.0,1000,96.259179
1000.0,1000,96.520619
1000.0,1000,96.783016
1000.0,1000,97.045575
1000.0,1000,97.308779
1000.0,1000,97.571787
1000.0,1000,97.833627
294.0,294,101.764305
288.0,288,101.840447
292.0,292,101.917453
296.0,296,101.995375
291.0,291,102.07197
289.0,289,102.147764
287.0,287,102.223
295.0,295,102.300581
286.0,286,102.375647
295.0,295,102.453326
1000.0,1000,104.304694
1000.0,1000,104.565826
1000.0,1000,104.827436
1000.0,1000,105.088776
1000.0,1000,105.350112
1000.0,1000,105.614163
1000.0,1000,105.875853
1000.0,1000,106.137319
1000.0,1000,106.399152
1000.0,1000,106.660899
1000.0,1000,110.124802
1000.0,1000,110.386322
1000.0,1000,110.648494
1000.0,1000,110.911014
1000.0,1000,111.173764
1000.0,1000,111.435932
1000.0,1000,111.698629
1000.0,1000,111.960778
1000.0,1000,112.223269
1000.0,1000,112.485727
1000.0,1000,115.945498
1000.0,1000,116.207489
1000.0,1000,116.469114
1000.0,1000,116.730846
1000.0,1000,116.992491
1000.0,1000,117.255203
1000.0,1000,117.51766
1000.0,1000,117.780471
1000.0,1000,118.043431
1000.0,1000,118.305507
1000.0,1000,121.769345
1000.0,1000,122.032617
1000.0,1000,122.295871
1000.0,1000,122.559297
1000.0,1000,122.822249
1000.0,1000,123.084824
1000.0,1000,123.347826
1000.0,1000,123.61013
1000.0,1000,123.872605
1000.0,1000,124.136651
1000.0,1000,127.599426
1000.0,1000,127.861842
1000.0,1000,128.12408
1000.0,1000,128.386518
1000.0,1000,128.648589
1000.0,1000,128.912171
1000.0,1000,129.174043
1000.0,1000,129.435781
1000.0,1000,129.697696
1000.0,1000,129.960511
1000.0,1000,133.42149
1000.0,1000,133.682685
1000.0,1000,133.943495
1000.0,1000,134.20468
1000.0,1000,134.465907
1000.0,1000,134.727402
1000.0,1000,134.988604
1000.0,1000,135.249962
1000.0,1000,135.511292
1000.0,1000,135.772028
1000.0,1000,139.232001
1000.0,1000,139.492557
1000.0,1000,139.752721
1000.0,1000,140.01335
1000.0,1000,140.27384
1000.0,1000,140.534337
1000.0,1000,140.794847
1000.0,1000,141.055319
1000.0,1000,141.315914
1000.0,1000,141.576892
1000.0,1000,145.038445
1000.0,1000,145.299691
1000.0,1000,145.560525
1000.0,1000,145.820933
1000.0,1000,146.081313
1000.0,1000,146.341641
1000.0,1000,146.602226
1000.0,1000,146.86246
1000.0,1000,147.123373
1000.0,1000,147.384112
1000.0,1000,150.840745
1000.0,1000,151.101664
1000.0,1000,151.362513
1000.0,1000,151.623683
1000.0,1000,151.884348
1000.0,1000,152.14535
1000.0,1000,152.40631
1000.0,1000,152.667668
1000.0,1000,152.928666
1000.0,1000,153.189253
1000.0,1000,156.647918
1000.0,1000,156.908683
1000.0,1000,157.168785
1000.0,1000,157.429806
1000.0,1000,157.691114
1000.0,1000,157.952031
1000.0,1000,158.212572
1000.0,1000,158.473445
1000.0,1000,158.734354
1000.0,1000,158.995354
1000.0,1000,162.455483
1000.0,1000,162.716364
1000.0,1000,162.976748
1000.0,1000,163.23786
1000.0,1000,163.49867
1000.0,1000,163.759446
1000.0,1000,164.020405
1000.0,1000,164.281244
1000.0,1000,164.541916
1000.0,1000,164.802262
1000.0,1000,168.260734
1000.0,1000,168.52111
1000.0,1000,168.781716
1000.0,1000,169.042598
1000.0,1000,169.303235
1000.0,1000,169.56353
1000.0,1000,169.823576
1000.0,1000,170.083626
1000.0,1000,170.343502
1000.0,1000,170.603471
1000.0,1000,174.061371
1000.0,1000,174.321565
1000.0,1000,174.581428
1000.0,1000,174.841826
1000.0,1000,175.102042
1000.0,1000,175.362289
1000.0,1000,175.622579
1000.0,1000,175.883206
1000.0,1000,176.14338
1000.0,1000,176.402973
1000.0,1000,179.860527
1000.0,1000,180.121677
1000.0,1000,180.383151
1000.0,1000,180.645135
1000.0,1000,180.906821
1000.0,1000,181.168304
1000.0,1000,181.42952
1000.0,1000,181.690678
1000.0,1000,181.952849
1000.0,1000,182.214489
1000.0,1000,185.670094
1000.0,1000,185.931183
1000.0,1000,186.192079
1000.0,1000,186.452834
1000.0,1000,186.713865
1000.0,1000,186.974506
1000.0,1000,187.235289
1000.0,1000,187.495644
1000.0,1000,187.756363
1000.0,1000,188.016801
1000.0,1000,191.472894
1000.0,1000,191.733201
1000.0,1000,191.994307
1000.0,1000,192.254699
1000.0,1000,192.515405
1000.0,1000,192.776063
1000.0,1000,193.037909
1000.0,1000,193.298375
1000.0,1000,193.559243
1000.0,1000,193.819925
1000.0,1000,197.281695
1000.0,1000,197.542507
1000.0,1000,197.802971
1000.0,1000,198.063682
1000.0,1000,198.324099
1000.0,1000,198.58458
1000.0,1000,198.84545
1000.0,1000,199.105919
1000.0,1000,199.366141
1000.0,1000,199.627052
1000.0,1000,203.087999
1000.0,1000,203.350014
1000.0,1000,203.610314
1000.0,1000,203.872396
1000.0,1000,204.133102
1000.0,1000,204.393577
1000.0,1000,204.655412
1000.0,1000,204.917428
1000.0,1000,205.179237
1000.0,1000,205.441238
1000.0,1000,208.90148
1000.0,1000,209.163191
1000.0,1000,209.423301
1000.0,1000,209.684994
1000.0,1000,209.945123
1000.0,1000,210.205368
1000.0,1000,210.466995
1000.0,1000,210.727189
1000.0,1000,210.98793
1000.0,1000,211.248235
1000.0,1000,214.706801
1000.0,1000,214.967186
1000.0,1000,215.228287
1000.0,1000,215.488952
1000.0,1000,215.749363
1000.0,1000,216.009614
1000.0,1000,216.270578
1000.0,1000,216.531064
1000.0,1000,216.791611
1000.0,1000,217.051887
1000.0,1000,220.507943
1000.0,1000,220.769171
1000.0,1000,221.033897
1000.0,1000,221.294978
1000.0,1000,221.555675
1000.0,1000,221.816473
1000.0,1000,222.078038
1000.0,1000,222.339059
1000.0,1000,222.600237
1000.0,1000,222.860216
1000.0,1000,226.3179
1000.0,1000,226.583063
1000.0,1000,226.845473
1000.0,1000,227.108068
1000.0,1000,227.370318
1000.0,1000,227.633107
1000.0,1000,227.895507
1000.0,1000,228.158017
1000.0,1000,228.420727
1000.0,1000,228.683272
1000.0,1000,232.143827
1000.0,1000,232.406818
1000.0,1000,232.669756
1000.0,1000,232.930994
1000.0,1000,233.193564
1000.0,1000,233.454248
1000.0,1000,233.714994
1000.0,1000,233.976904
1000.0,1000,234.238169
1000.0,1000,234.501748
1000.0,1000,237.96428
1000.0,1000,238.226923
1000.0,1000,238.489309
1000.0,1000,238.75157
1000.0,1000,239.013804
1000.0,1000,239.276079
1000.0,1000,239.538032
1000.0,1000,239.799613
1000.0,1000,240.061893
1000.0,1000,240.324558
1000.0,1000,243.784494
1000.0,1000,244.04465
1000.0,1000,244.304782
1000.0,1000,244.565873
1000.0,1000,244.826341
1000.0,1000,245.08633
1000.0,1000,245.347929
1000.0,1000,245.607754
1000.0,1000,245.86925
1000.0,1000,246.129346
1000.0,1000,249.594509
1000.0,1000,249.85558
1000.0,1000,250.117098
1000.0,1000,250.378873
1000.0,1000,250.640564
1000.0,1000,250.903105
1000.0,1000,251.16522
1000.0,1000,251.427555
1000.0,1000,251.690365
1000.0,1000,251.952152
1000.0,1000,255.412434
1000.0,1000,255.67468
1000.0,1000,255.936767
1000.0,1000,256.199314
1000.0,1000,256.462158
1000.0,1000,256.724757
1000.0,1000,256.990105
1000.0,1000,257.252696
1000.0,1000,257.515379
1000.0,1000,257.778073
1000.0,1000,261.242021
1000.0,1000,261.504543
1000.0,1000,261.766616
1000.0,1000,262.028888
1000.0,1000,262.290761
1000.0,1000,262.552696
1000.0,1000,262.814762
1000.0,1000,263.076975
1000.0,1000,263.339275
1000.0,1000,263.601155
1000.0,1000,267.062954
1000.0,1000,267.32333
1000.0,1000,267.583603
1000.0,1000,267.844587
1000.0,1000,268.104951
1000.0,1000,268.364419
1000.0,1000,268.624171
1000.0,1000,268.883598
1000.0,1000,269.143857
1000.0,1000,269.404011
1000.0,1000,272.865167
1000.0,1000,273.126397
1000.0,1000,273.387019
1000.0,1000,273.647505
1000.0,1000,273.907955
1000.0,1000,274.169406
1000.0,1000,274.431267
1000.0,1000,274.692537
1000.0,1000,274.954408
1000.0,1000,275.215092
1000.0,1000,278.676042
1000.0,1000,278.937623
1000.0,1000,279.198347
1000.0,1000,279.459686
1000.0,1000,279.720481
1000.0,1000,279.981676
1000.0,1000,280.242931
1000.0,1000,280.504044
1000.0,1000,280.764909
1000.0,1000,281.025891
1000.0,1000,284.491326
1000.0,1000,284.75293
1000.0,1000,285.014233
1000.0,1000,285.275413
1000.0,1000,285.536762
1000.0,1000,285.798478
1000.0,1000,286.060126
1000.0,1000,286.321798
1000.0,1000,286.583281
1000.0,1000,286.844794
1000.0,1000,290.312655
1000.0,1000,290.574214
1000.0,1000,290.835561
1000.0,1000,291.09637
1000.0,1000,291.357447
1000.0,1000,291.618231
1000.0,1000,291.879751
1000.0,1000,292.140616
1000.0,1000,292.401572
1000.0,1000,292.66277
1000.0,1000,296.129678
1000.0,1000,296.390734
1000.0,1000,296.652808
1000.0,1000,296.91498
1000.0,1000,297.175473
1000.0,1000,297.436599
1000.0,1000,297.698531
1000.0,1000,297.960517
1000.0,1000,298.222078
1000.0,1000,298.482725
1000.0,1000,301.952653
1000.0,1000,302.215692
1000.0,1000,302.479158
