#{"t_start": 1663264187.1507795, "env_id": "InvertedPendulum-v2"}
r,l,t
7.0,7,0.22365
6.0,6,0.225496
7.0,7,0.227571
7.0,7,0.229672
7.0,7,0.231746
7.0,7,0.233818
7.0,7,0.235828
7.0,7,0.237844
7.0,7,0.239858
7.0,7,0.241949
7.0,7,0.46017
7.0,7,0.462303
7.0,7,0.464342
7.0,7,0.466464
6.0,6,0.468238
7.0,7,0.47036
6.0,6,0.472109
7.0,7,0.474182
7.0,7,0.476192
6.0,6,0.478232
7.0,7,0.690344
7.0,7,0.692388
7.0,7,0.694412
7.0,7,0.696428
7.0,7,0.698461
7.0,7,0.700489
7.0,7,0.702508
6.0,6,0.704248
6.0,6,0.705989
6.0,6,0.707749
7.0,7,0.917457
7.0,7,0.919506
7.0,7,0.921536
7.0,7,0.923551
7.0,7,0.925564
7.0,7,0.927589
7.0,7,0.929599
7.0,7,0.931615
7.0,7,0.933623
7.0,7,0.935654
7.0,7,1.149185
7.0,7,1.151257
7.0,7,1.153445
7.0,7,1.155501
7.0,7,1.157661
7.0,7,1.159717
7.0,7,1.161854
6.0,6,1.163636
7.0,7,1.165771
6.0,6,1.167552
7.0,7,1.380701
7.0,7,1.3828
7.0,7,1.384839
7.0,7,1.386869
7.0,7,1.388904
6.0,6,1.390678
7.0,7,1.392725
7.0,7,1.394755
7.0,7,1.396782
7.0,7,1.398823
7.0,7,1.609061
7.0,7,1.611122
7.0,7,1.613162
6.0,6,1.614928
7.0,7,1.616969
6.0,6,1.618749
6.0,6,1.620518
7.0,7,1.622549
7.0,7,1.624577
7.0,7,1.62661
7.0,7,1.836831
7.0,7,1.838883
7.0,7,1.84091
7.0,7,1.843035
7.0,7,1.845087
7.0,7,1.847113
7.0,7,1.84912
7.0,7,1.851127
7.0,7,1.853142
7.0,7,1.855169
6.0,6,2.065999
7.0,7,2.068057
7.0,7,2.070091
7.0,7,2.072111
6.0,6,2.073869
7.0,7,2.07588
7.0,7,2.07789
6.0,6,2.079639
7.0,7,2.081655
7.0,7,2.083677
7.0,7,2.295475
7.0,7,2.297529
7.0,7,2.299563
7.0,7,2.301595
7.0,7,2.303621
7.0,7,2.305653
7.0,7,2.307669
7.0,7,2.30969
7.0,7,2.311698
7.0,7,2.313718
11.0,11,5.705455
11.0,11,5.708611
12.0,12,5.712082
12.0,12,5.715483
11.0,11,5.718584
12.0,12,5.721979
11.0,11,5.72507
11.0,11,5.728157
12.0,12,5.731522
11.0,11,5.73481
67.0,67,8.901383
68.0,68,8.919639
66.0,66,8.937236
65.0,65,8.954512
64.0,64,8.971542
68.0,68,8.98956
66.0,66,9.007068
82.0,82,9.028811
61.0,61,9.045014
64.0,64,9.061974
51.0,51,12.238043
57.0,57,12.253698
54.0,54,12.268826
52.0,52,12.282767
56.0,56,12.29779
53.0,53,12.311973
53.0,53,12.326103
54.0,54,12.340539
53.0,53,12.35471
54.0,54,12.369217
65.0,65,15.649742
63.0,63,15.666757
59.0,59,15.682646
62.0,62,15.699268
61.0,61,15.715657
60.0,60,15.731898
60.0,60,15.748376
60.0,60,15.765044
62.0,62,15.782008
57.0,57,15.797303
58.0,58,19.162205
62.0,62,19.179309
60.0,60,19.195772
55.0,55,19.210795
56.0,56,19.226219
55.0,55,19.241297
53.0,53,19.255822
56.0,56,19.27113
57.0,57,19.286693
55.0,55,19.301789
53.0,53,22.522663
53.0,53,22.537025
53.0,53,22.551319
50.0,50,22.564789
53.0,53,22.579189
53.0,53,22.593421
51.0,51,22.607096
54.0,54,22.62155
53.0,53,22.635735
51.0,51,22.649457
45.0,45,25.753762
63.0,63,25.770799
45.0,45,25.782914
56.0,56,25.797989
66.0,66,25.815653
47.0,47,25.828252
72.0,72,25.847459
44.0,44,25.859256
52.0,52,25.873191
58.0,58,25.88872
42.0,42,29.205097
43.0,43,29.216823
41.0,41,29.227992
41.0,41,29.239153
44.0,44,29.251092
42.0,42,29.262454
43.0,43,29.27404
44.0,44,29.285873
42.0,42,29.297167
41.0,41,29.308278
47.0,47,32.472938
45.0,45,32.485188
49.0,49,32.498362
48.0,48,32.511241
46.0,46,32.523594
44.0,44,32.535396
48.0,48,32.548225
46.0,46,32.560549
78.0,78,32.581305
49.0,49,32.594461
53.0,53,35.817139
41.0,41,35.82829
45.0,45,35.840498
43.0,43,35.852145
40.0,40,35.862988
40.0,40,35.873943
42.0,42,35.885296
45.0,45,35.897421
40.0,40,35.908223
39.0,39,35.918801
35.0,35,39.236645
35.0,35,39.246238
39.0,39,39.256827
36.0,36,39.266607
38.0,38,39.276947
35.0,35,39.286401
38.0,38,39.296641
37.0,37,39.30664
36.0,36,39.316346
36.0,36,39.326049
61.0,61,42.405594
67.0,67,42.423717
