#{"t_start": 1663264069.6943421, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
45.621712,5,0.29207
54.216387,6,0.294819
45.534167,5,0.296898
54.22358,6,0.299236
45.629691,5,0.301186
45.526234,5,0.303128
54.434406,6,0.305414
45.348525,5,0.307303
45.576246,5,0.309196
45.524898,5,0.311084
54.232264,6,0.592514
45.512543,5,0.594441
45.467034,5,0.596351
45.393624,5,0.59825
54.65327,6,0.600478
45.406606,5,0.602399
45.528274,5,0.604298
54.276465,6,0.606539
45.455034,5,0.608428
54.415559,6,0.610653
54.276307,6,0.888497
45.450401,5,0.890428
45.483859,5,0.892332
54.509848,6,0.894568
45.480061,5,0.896466
45.406162,5,0.898376
45.614614,5,0.90028
45.628814,5,0.902183
45.336415,5,0.90407
45.467677,5,0.905951
45.663967,5,1.18208
45.338641,5,1.184015
45.536957,5,1.185929
45.46652,5,1.187835
45.504729,5,1.189734
54.367432,6,1.191978
45.506517,5,1.193879
54.214906,6,1.196136
45.591814,5,1.198023
45.412464,5,1.199917
45.471973,5,1.479061
45.509635,5,1.481001
54.259123,6,1.483258
45.47443,5,1.485162
45.536897,5,1.487048
45.548594,5,1.488957
54.270643,6,1.491192
54.196156,6,1.49343
45.547973,5,1.49533
54.457538,6,1.497557
54.408697,6,1.773935
45.283196,5,1.775853
45.516055,5,1.777753
54.211136,6,1.779992
45.244913,5,1.781892
54.608609,6,1.78413
45.602667,5,1.786016
54.471925,6,1.788246
45.56723,5,1.790145
45.675247,5,1.792031
54.491085,6,2.074619
45.324753,5,2.076599
45.624484,5,2.07855
54.762694,6,2.080819
45.431984,5,2.082743
45.375343,5,2.084668
45.495394,5,2.086588
45.450683,5,2.088511
54.625493,6,2.090756
45.383662,5,2.092664
45.52998,5,2.369285
45.650246,5,2.371233
45.571682,5,2.373155
54.609177,6,2.375422
45.438479,5,2.377346
45.454454,5,2.379248
45.251886,5,2.38115
45.433351,5,2.383059
54.460507,6,2.385297
45.612696,5,2.38721
45.501802,5,2.665999
45.488124,5,2.667937
45.509835,5,2.669852
45.684994,5,2.671762
54.156008,6,2.674008
45.729978,5,2.675906
45.618768,5,2.677817
54.682144,6,2.680064
45.432679,5,2.681957
45.352401,5,2.683855
45.470362,5,2.963875
54.305922,6,2.966162
54.250963,6,2.9684
45.630866,5,2.970309
45.452937,5,2.972216
45.593438,5,2.974095
45.472647,5,2.975999
45.453953,5,2.977908
45.481469,5,2.979798
45.402783,5,2.981692
26.86682,3,6.443429
26.888051,3,6.444714
26.786813,3,6.445948
26.753677,3,6.447182
26.755684,3,6.448408
26.830225,3,6.449633
26.747594,3,6.450856
26.772533,3,6.452073
34.821821,4,6.453695
26.827928,3,6.454921
26.604377,3,9.911035
26.879783,3,9.912332
26.859205,3,9.913576
26.818434,3,9.914803
26.783703,3,9.916028
26.824451,3,9.917254
26.779135,3,9.918485
26.84845,3,9.919717
26.894937,3,9.920945
26.796337,3,9.922219
101.646635,11,13.253901
119.841222,13,13.25852
129.239452,14,13.263506
157.259584,17,13.26947
212.807961,23,13.277348
166.840698,18,13.283565
111.103615,12,13.287776
176.236242,19,13.294325
101.715251,11,13.298198
129.515922,14,13.303201
157.324823,17,16.607403
138.689789,15,16.612684
157.299758,17,16.618608
139.075026,15,16.623834
250.885474,27,16.633033
157.611048,17,16.638941
288.326932,31,16.649486
194.766161,21,16.656695
204.408919,22,16.664222
279.399799,30,16.674424
119.904897,13,20.015206
241.699819,26,20.024344
138.877914,15,20.029569
120.010916,13,20.034143
166.4921,18,20.040363
203.956542,22,20.047895
204.079065,22,20.055518
175.833681,19,20.062024
279.002763,30,20.072211
129.122624,14,20.077076
148.205868,16,23.305961
250.652832,27,23.315206
194.455524,21,23.322386
344.351591,37,23.334849
700.07267,75,23.359838
213.665949,23,23.367671
241.652008,26,23.37648
512.74739,55,23.39487
157.141456,17,23.400725
251.141903,27,23.409865
185.038002,20,26.790129
493.628375,53,26.808023
278.687711,30,26.818217
241.521552,26,26.827032
344.185554,37,26.839527
269.406487,29,26.849358
166.080243,18,26.855528
550.271715,59,26.875252
269.515677,29,26.885044
259.986771,28,26.894494
353.302114,38,30.256789
287.856836,31,30.2675
428.75811,46,30.283078
203.393077,22,30.290653
475.445745,51,30.3079
222.256488,24,30.31619
185.054234,20,30.323062
391.320308,42,30.337274
315.719243,34,30.348873
269.327553,29,30.35877
662.335717,71,33.660058
437.662145,47,33.676219
456.646085,49,33.692929
419.098867,45,33.708225
606.433537,65,33.730086
466.01318,50,33.747053
578.545046,62,33.767994
268.764192,29,33.777906
484.945268,52,33.795542
522.139428,56,33.81449
568.757785,61,37.108507
541.104543,58,37.128197
203.188893,22,37.135769
521.79226,56,37.154656
297.343194,32,37.165598
699.608685,75,37.190789
391.027789,42,37.205006
288.193152,31,37.215573
438.178508,47,37.231482
250.030129,27,37.240703
447.260912,48,40.579011
362.628476,39,40.59233
531.152459,57,40.611579
493.854743,53,40.629594
1205.069234,129,40.672791
428.640644,46,40.688364
335.120938,36,40.700736
456.314587,49,40.717364
559.118978,60,40.73763
587.642481,63,40.758933
437.564975,47,43.683212
334.440882,36,43.695567
784.107608,84,43.724012
1299.244562,139,43.770593
803.040614,86,43.799592
634.040653,68,43.822543
466.102896,50,43.839511
550.449309,59,43.859365
316.170527,34,43.870954
531.491486,57,43.890179
568.98832,61,47.39532
9342.428111,1000,47.726217
232.118262,25,47.734882
522.397475,56,47.753759
1074.275874,115,47.792118
9342.728195,1000,48.123575
9342.494695,1000,48.455484
802.722773,86,48.484382
418.777962,45,48.499633
334.682541,36,48.511903
1008.799562,108,51.241854
867.452912,93,51.272943
455.778474,49,51.28941
447.15496,48,51.305613
306.865613,33,51.316825
662.62534,71,51.340727
830.755127,89,51.370616
708.091487,76,51.396175
445.949238,48,51.412371
324.982082,35,51.424283
278.909707,30,55.578781
578.373459,62,55.599783
381.564467,41,55.613699
297.403015,32,55.62466
316.423082,34,55.636247
493.611541,53,55.654192
503.425821,54,55.672405
456.227114,49,55.688977
381.43421,41,55.702919
465.590129,50,55.719738
287.958815,31,58.960951
511.989403,55,58.979599
549.307662,59,58.999519
353.39632,38,59.012441
437.500477,47,59.028335
465.525617,50,59.045273
530.745876,57,59.064511
297.479731,32,59.075406
493.873124,53,59.093285
718.71105,77,59.119139
680.916813,73,62.441917
680.685154,73,62.466524
334.87805,36,62.478786
793.052072,85,62.507258
531.699229,57,62.526426
606.094762,65,62.548299
297.271122,32,62.559231
606.37607,65,62.581143
363.021349,39,62.594398
756.025158,81,62.621523
1008.529111,108,65.652592
1018.189046,109,65.689226
550.391269,59,65.70907
465.75843,50,65.725947
278.276447,30,65.736246
867.741288,93,65.767484
316.111351,34,65.779082
1101.872432,118,65.8187
325.616225,35,65.830669
858.894578,92,65.861562
428.136804,46,68.958863
746.341625,80,68.985848
1363.382692,146,69.034633
2205.781048,236,69.113183
1111.217156,119,69.15291
2046.771106,219,69.225908
268.779494,29,69.23584
2701.467213,289,69.332045
877.358648,94,69.363595
1269.90948,136,69.408926
9354.482422,1000,72.97825
9354.391029,1000,73.308704
9354.223431,1000,73.638849
9354.457394,1000,73.968907
288.114939,31,73.979486
9354.568123,1000,74.311615
9354.190047,1000,74.643357
371.914659,40,74.657019
9354.17406,1000,74.988835
9354.435328,1000,75.319854
9359.720926,1000,79.112055
9359.781407,1000,79.44112
9359.691958,1000,79.770213
447.127237,48,79.786446
9355.659429,1000,80.117192
9356.042202,1000,80.447435
9359.219708,1000,80.776659
9359.352632,1000,81.105913
9355.069155,1000,81.436068
540.513079,58,81.45565
9359.649137,1000,85.198608
9359.561323,1000,85.526335
9359.494961,1000,85.853978
372.273177,40,85.867543
9359.527556,1000,86.195178
9359.509935,1000,86.523142
9359.465326,1000,86.851057
9359.665718,1000,87.178042
9359.505256,1000,87.505873
9359.353273,1000,87.83406
9359.926239,1000,91.443391
9359.923307,1000,91.772052
9359.915856,1000,92.100316
9359.837524,1000,92.428178
9359.885352,1000,92.756865
9359.844025,1000,93.085469
9359.611033,1000,93.414301
9359.8871,1000,93.742406
297.173812,32,93.753342
9359.694553,1000,94.085488
9359.973205,1000,97.689847
9359.972613,1000,98.017674
9359.96328,1000,98.345256
9359.977566,1000,98.672652
9359.976406,1000,99.000721
9359.83494,1000,99.329502
9359.92658,1000,99.658808
9359.792023,1000,99.987751
9359.970818,1000,100.317079
9359.939248,1000,100.646411
9359.866674,1000,104.258495
9359.934907,1000,104.587203
9359.638572,1000,104.915222
9359.706187,1000,105.243719
9359.874808,1000,105.572589
9359.940588,1000,105.901376
9359.873758,1000,106.230426
9359.945216,1000,106.559172
9359.916264,1000,106.887136
9359.922024,1000,107.215626
335.232322,36,110.506384
9359.790008,1000,110.834985
9359.809351,1000,111.162842
9359.768261,1000,111.490957
9359.784822,1000,111.819914
9359.87861,1000,112.149379
9359.891895,1000,112.478029
9359.844707,1000,112.806923
9359.915009,1000,113.135458
9359.543614,1000,113.464853
9359.871121,1000,117.072088
9359.841571,1000,117.401555
9359.87729,1000,117.731881
9359.767648,1000,118.062352
9359.865939,1000,118.392326
9359.541452,1000,118.722723
9359.843593,1000,119.053493
9359.676179,1000,119.383665
9359.788198,1000,119.713791
9359.782447,1000,120.044919
9359.592402,1000,123.652296
9359.593469,1000,123.981863
9359.565328,1000,124.311262
9359.385217,1000,124.640393
9359.573854,1000,124.969806
9359.282485,1000,125.299588
9359.523181,1000,125.629003
9359.407907,1000,125.959163
9359.518295,1000,126.288891
9359.361294,1000,126.618314
9359.293261,1000,130.227997
9359.696571,1000,130.557704
9359.058708,1000,130.888898
9359.236765,1000,131.220016
9359.624787,1000,131.550684
9359.670745,1000,131.882023
9359.695916,1000,132.212668
9359.503335,1000,132.543998
9359.569202,1000,132.874319
9359.683817,1000,133.204873
9359.446971,1000,136.811304
9359.520479,1000,137.141391
474.671644,51,137.158631
9358.87985,1000,137.489149
9359.224336,1000,137.819869
9359.428932,1000,138.150345
9359.349562,1000,138.480859
9359.328579,1000,138.810931
9359.43908,1000,139.141339
9359.435417,1000,139.471785
9359.475157,1000,143.079853
9359.317507,1000,143.409906
9359.582369,1000,143.740237
9359.13596,1000,144.071365
9359.515187,1000,144.402208
9359.593651,1000,144.732918
9359.520524,1000,145.063386
9359.163832,1000,145.393779
9358.884886,1000,145.724185
9359.299621,1000,146.054976
9358.738977,1000,149.664045
9358.967072,1000,149.993382
9359.30403,1000,150.322561
9359.374377,1000,150.652357
9358.827043,1000,150.981435
9358.852493,1000,151.311332
456.036918,49,151.327873
9359.276732,1000,151.657881
9358.963119,1000,151.988096
9359.072263,1000,152.318054
9358.543174,1000,155.927645
9358.877364,1000,156.257713
9358.85287,1000,156.588124
9358.733318,1000,156.918172
9358.679028,1000,157.248353
9358.729604,1000,157.579824
9358.783376,1000,157.91112
9358.808105,1000,158.241596
9358.759379,1000,158.572994
9359.032587,1000,158.903173
9357.04859,1000,162.737952
9356.779901,1000,163.068481
680.958782,73,163.093003
9356.420121,1000,163.423423
9357.057439,1000,163.754057
9356.544456,1000,164.084172
9357.046436,1000,164.414142
9357.114979,1000,164.744076
9356.697851,1000,165.07425
9357.204961,1000,165.404179
9357.68797,1000,166.327939
9357.841624,1000,166.655802
745.905462,80,166.682494
9358.010594,1000,167.010739
9357.885074,1000,167.339908
671.662184,72,167.364093
9357.850261,1000,167.69434
9357.587629,1000,168.024572
9357.941429,1000,168.354558
9357.773853,1000,168.684358
9359.025434,1000,172.294362
9358.888345,1000,172.623898
9358.852829,1000,172.953535
9358.873001,1000,173.283142
9358.803692,1000,173.612544
9358.762608,1000,173.942914
9358.748954,1000,174.273556
9358.696004,1000,174.603499
9358.940709,1000,174.933931
9358.859075,1000,175.263993
9358.296426,1000,178.874266
9358.620327,1000,179.205138
9358.473236,1000,179.536524
9358.54762,1000,179.867764
9358.649529,1000,180.199252
9358.285813,1000,180.529608
9358.672376,1000,180.859592
9358.596085,1000,181.189251
9358.441927,1000,181.51914
9358.670995,1000,181.850374
9358.581105,1000,185.465237
9357.91083,1000,185.795594
9358.678232,1000,186.126385
9357.711982,1000,186.457206
9358.491399,1000,186.787922
9356.881955,1000,187.118778
9358.348231,1000,187.44846
9357.844563,1000,187.778982
9358.678061,1000,188.109427
9358.587296,1000,188.440156
9316.232629,1000,192.050526
9315.137375,1000,192.380606
9314.376696,1000,192.710665
9315.498188,1000,193.041139
9314.468379,1000,193.371342
9314.719292,1000,193.701263
9315.940369,1000,194.030983
9314.880947,1000,194.360415
9315.806034,1000,194.689317
9315.428085,1000,195.019438
9357.866706,1000,198.622725
9358.045731,1000,198.950358
9358.048919,1000,199.277754
9358.027818,1000,199.604716
9357.865893,1000,199.931996
9357.96827,1000,200.258534
9357.995825,1000,200.585901
9358.083477,1000,200.913575
9357.895492,1000,201.241637
9357.904507,1000,201.569893
9318.17121,1000,205.174637
9315.205949,1000,205.504218
9318.178788,1000,205.833108
9315.807549,1000,206.162149
9317.886663,1000,206.491195
9318.468677,1000,206.821585
9317.496907,1000,207.152503
9318.82945,1000,207.482696
9318.564049,1000,207.812954
9316.441968,1000,208.141679
9315.240653,1000,211.750087
9314.99505,1000,212.080395
9314.359031,1000,212.411351
9314.581673,1000,212.742258
9314.300553,1000,213.073045
9314.444683,1000,213.403044
9314.573568,1000,213.733356
9314.754922,1000,214.063983
9315.363533,1000,214.394662
9314.293145,1000,214.728508
9358.442204,1000,218.33928
9358.429233,1000,218.668972
9357.967935,1000,218.999093
9358.33862,1000,219.32948
9358.464775,1000,219.65949
9358.085608,1000,219.988985
9358.493851,1000,220.319388
9358.352603,1000,220.649527
9358.463399,1000,220.979922
9358.483511,1000,221.31028
9349.069692,1000,224.92335
9349.577517,1000,225.253211
9348.837836,1000,225.582823
9348.819193,1000,225.913144
9349.092211,1000,226.24372
9348.892373,1000,226.574108
9348.918979,1000,226.904582
9349.070096,1000,227.234331
9348.919466,1000,227.564549
9349.030756,1000,227.894857
9323.693431,1000,231.50434
9324.137395,1000,231.833643
9323.941025,1000,232.163392
9323.718115,1000,232.493258
9324.112985,1000,232.823225
9323.825143,1000,233.152859
9323.791975,1000,233.481916
9324.049752,1000,233.811967
9322.621414,1000,234.141529
9324.025773,1000,234.471389
9351.197933,1000,238.080359
9350.610576,1000,238.410349
9350.083947,1000,238.741039
9351.323965,1000,239.070674
9351.252565,1000,239.400341
9351.068855,1000,239.730854
9351.109762,1000,240.061968
9350.790766,1000,240.392763
9351.159972,1000,240.723719
9351.398758,1000,241.053743
9314.163166,1000,244.664579
9313.50781,1000,244.998142
9313.254305,1000,245.329314
9313.828795,1000,245.659887
9313.357266,1000,245.990325
9316.076817,1000,246.320853
9315.459154,1000,246.651174
9314.668962,1000,246.981332
9313.596677,1000,247.31183
9314.159254,1000,247.642647
9351.865159,1000,251.252505
9351.797883,1000,251.583359
9352.045061,1000,251.913904
9351.428049,1000,252.244158
9351.081968,1000,252.574118
9351.653314,1000,252.905394
9350.981138,1000,253.23602
9351.825342,1000,253.567202
9351.592708,1000,253.897853
9351.152716,1000,254.22805
9350.28673,1000,257.838572
9351.024349,1000,258.168601
9350.358917,1000,258.499561
9350.59175,1000,258.830104
9349.723292,1000,259.161328
9350.612871,1000,259.491137
9349.61383,1000,259.820968
9350.553309,1000,260.15049
9350.290799,1000,260.480207
9354.083319,1000,260.811443
9338.598317,1000,264.419842
9340.090944,1000,264.749467
9335.748628,1000,265.078876
9335.772508,1000,265.408562
9343.781655,1000,265.738181
9336.340111,1000,266.067545
9336.036154,1000,266.397267
9338.989643,1000,266.726751
9339.499379,1000,267.055986
9340.710757,1000,267.385647
9338.982134,1000,271.647017
9337.522643,1000,271.977229
9339.578498,1000,272.307461
9339.836094,1000,272.637894
9339.930551,1000,272.967968
9339.0076,1000,273.297073
9338.068135,1000,273.626703
9340.561819,1000,273.956602
9338.766397,1000,274.285846
9340.098426,1000,274.616281
9343.234477,1000,278.228383
9344.14774,1000,278.558531
9344.371674,1000,278.888194
9344.587633,1000,279.21785
9344.097062,1000,279.547557
9343.946253,1000,279.877853
9343.574838,1000,280.208129
9343.863498,1000,280.53791
9343.900466,1000,280.868188
9344.378504,1000,281.198451
9346.871698,1000,284.80586
9346.772926,1000,285.135264
9348.877545,1000,285.464809
9346.941568,1000,285.793848
9346.480369,1000,286.123146
9346.956772,1000,286.451588
9346.857238,1000,286.780718
9346.677633,1000,287.110195
9347.071971,1000,287.439653
9346.338,1000,287.769152
9349.531373,1000,291.376982
9349.978827,1000,291.706649
9349.205399,1000,292.036417
9349.795327,1000,292.366181
9349.907624,1000,292.695935
9350.427361,1000,293.024943
9350.294791,1000,293.354286
9349.534173,1000,293.683322
9349.995104,1000,294.012506
9350.340799,1000,294.342453
9331.680459,1000,297.948142
9331.896572,1000,298.277076
9333.11638,1000,298.605759
9332.677216,1000,298.934404
9332.235639,1000,299.26334
9332.366965,1000,299.592642
9331.844195,1000,299.921598
9331.878768,1000,300.250442
9332.225328,1000,300.578884
9332.495208,1000,300.907852
9332.095838,1000,304.511218
9332.784675,1000,304.840747
9332.094449,1000,305.170006
9332.011892,1000,305.502125
9333.000469,1000,305.832124
9332.176261,1000,306.16198
9332.04694,1000,306.491581
9332.715054,1000,306.82109
9332.620897,1000,307.150779
9333.60209,1000,307.480436
9327.344051,1000,311.087899
9327.028215,1000,311.417735
9327.381878,1000,311.747636
9327.168736,1000,312.076983
9327.016707,1000,312.407206
9327.286439,1000,312.73734
9327.074038,1000,313.067123
9327.424804,1000,313.396903
9327.027382,1000,313.72661
9327.48188,1000,314.056298
9354.243818,1000,317.662307
9354.107809,1000,317.991667
9353.559747,1000,318.32097
9353.618704,1000,318.650203
9353.967038,1000,318.979707
9354.177511,1000,319.308938
9354.23696,1000,319.638218
9353.452758,1000,319.967695
9353.688347,1000,320.296653
9353.161515,1000,320.62539
9356.330235,1000,324.232654
9356.591793,1000,324.562532
9355.685994,1000,324.892769
9356.266206,1000,325.221942
9356.38505,1000,325.550576
9356.602881,1000,325.880566
9355.930926,1000,326.210583
9355.29853,1000,326.540997
9355.799775,1000,326.871808
9354.980596,1000,327.201326
9357.466619,1000,330.812298
9357.805985,1000,331.143685
9358.013289,1000,331.474391
9357.921025,1000,331.80505
9357.944723,1000,332.135379
9358.016756,1000,332.465246
9357.263149,1000,332.796082
9357.771506,1000,333.126358
9358.006062,1000,333.457171
9357.405588,1000,333.788731
9354.587818,1000,337.407041
9355.123403,1000,337.737781
9354.066426,1000,338.068058
9354.984667,1000,338.398184
9355.180987,1000,338.728408
9355.242676,1000,339.057751
9354.354572,1000,339.387625
9354.838814,1000,339.717309
9355.200809,1000,340.047515
9354.15707,1000,340.378453
9324.627309,1000,343.996421
9324.010007,1000,344.327427
9323.457801,1000,344.658315
9324.12114,1000,344.988669
9323.896249,1000,345.31933
9325.210859,1000,345.649813
9323.473651,1000,345.98009
9323.938444,1000,346.310019
9323.877388,1000,346.639356
9327.765994,1000,346.969549
3990.981355,428,351.03731
5219.974623,560,351.222578
4968.52714,533,351.398873
8332.75437,894,351.694256
6226.595146,668,351.914544
5425.442323,582,352.106852
3309.091654,355,352.224698
3272.930089,351,352.341089
4810.546068,516,352.51178
