#{"t_start": 1663347487.2653487, "env_id": "PredatorPrey-v0"}
r,l,t
-20.0,200,1.688884
-20.0,200,1.740733
-20.0,200,1.792325
-20.0,200,1.844251
-20.0,200,1.895951
-20.0,200,1.947231
-20.0,200,1.998405
-20.0,200,2.049481
-20.0,200,2.100677
-20.0,200,2.152067
-20.0,200,2.203577
-20.0,200,2.255069
-20.0,200,2.306666
-20.0,200,2.358156
-20.0,200,2.409583
-20.0,200,2.461389
-20.0,200,2.513237
1.0,1,2.513611
-20.0,200,2.565244
-20.0,200,2.616756
-20.0,200,2.671713
-20.0,200,2.72326
-20.0,200,2.774832
-20.0,200,2.826318
-20.0,200,2.877691
-20.0,200,2.929131
-1.0,21,2.934603
-20.0,200,2.985815
-1.4,25,2.992317
-20.0,200,3.043836
-20.0,200,3.095249
-20.0,200,3.146652
-20.0,200,3.198098
-20.0,200,3.249534
-20.0,200,3.300987
-20.0,200,3.352325
-20.0,200,3.403709
-20.0,200,3.455131
-20.0,200,3.506498
-20.0,200,3.557864
-20.0,200,3.609205
-20.0,200,3.660633
-20.0,200,3.711943
-20.0,200,3.763271
-20.0,200,3.814703
-20.0,200,3.866103
-20.0,200,3.917503
-20.0,200,3.969004
-20.0,200,4.020785
-20.0,200,4.072308
-20.0,200,4.123682
-20.0,200,4.175117
-3.5,46,4.187029
-20.0,200,4.23846
-20.0,200,4.289863
-20.0,200,4.341252
-20.0,200,4.392609
-20.0,200,4.443991
-20.0,200,4.495486
-20.0,200,4.546956
-20.0,200,4.598493
-20.0,200,4.650038
-20.0,200,4.701466
-20.0,200,4.752967
-20.0,200,4.804355
-20.0,200,4.855889
-20.0,200,4.907308
-20.0,200,4.959007
-20.0,200,5.010612
-20.0,200,5.062203
-20.0,200,5.113638
-20.0,200,5.165283
-20.0,200,5.216735
-20.0,200,5.268201
-20.0,200,5.319646
-20.0,200,5.371102
-20.0,200,5.422477
-20.0,200,5.474019
-20.0,200,5.525523
-20.0,200,5.576955
-20.0,200,5.628214
-20.0,200,5.679532
-20.0,200,5.73088
-20.0,200,5.782271
-20.0,200,5.833693
-20.0,200,5.88511
-20.0,200,5.936527
-20.0,200,5.987885
-20.0,200,6.039304
-20.0,200,6.090504
-20.0,200,6.141764
-20.0,200,6.193222
-20.0,200,6.244689
-20.0,200,6.296102
-20.0,200,6.3476
-20.0,200,6.399037
-20.0,200,6.450502
-20.0,200,6.501961
-20.0,200,6.553461
-20.0,200,6.604875
-20.0,200,25.217851
-20.0,200,25.270066
-20.0,200,25.321807
-20.0,200,25.373369
-20.0,200,25.424972
-20.0,200,25.476733
-20.0,200,25.528421
-20.0,200,25.580095
-20.0,200,25.631754
-20.0,200,25.683388
-20.0,200,25.734936
-20.0,200,25.786576
-20.0,200,25.838196
-20.0,200,25.889865
-20.0,200,25.941545
-20.0,200,25.993115
-20.0,200,26.044892
-20.0,200,26.096676
-20.0,200,26.148865
-20.0,200,26.200738
-20.0,200,26.252514
-20.0,200,26.304197
-20.0,200,26.355946
-20.0,200,26.407733
-9.2,103,26.434454
-20.0,200,26.486206
-20.0,200,26.537858
-20.0,200,26.589536
-20.0,200,26.64124
-20.0,200,26.69292
-20.0,200,26.744619
-20.0,200,26.796321
-20.0,200,26.848081
-20.0,200,26.899782
-20.0,200,26.951635
-20.0,200,27.003331
-20.0,200,27.055057
-20.0,200,27.106787
-20.0,200,27.158648
-20.0,200,27.210454
-20.0,200,27.262172
-20.0,200,27.313859
-20.0,200,27.36546
-20.0,200,27.417114
-20.0,200,27.469146
-20.0,200,27.521041
-20.0,200,27.572785
-20.0,200,27.624652
-3.5,46,27.636881
-20.0,200,27.688698
