#{"t_start": 1663308860.5776665, "env_id": "PredatorPrey-v0"}
r,l,t
-10.0,100,1.664437
-10.0,100,1.690819
-10.0,100,1.717094
-10.0,100,1.743336
-10.0,100,1.769643
-10.0,100,1.795834
-10.0,100,1.822127
-10.0,100,1.848489
-10.0,100,1.874697
-10.0,100,1.900911
-10.0,100,1.927092
-10.0,100,1.953228
-10.0,100,1.979487
-10.0,100,2.005574
-10.0,100,2.031635
-10.0,100,2.057757
-10.0,100,2.083937
-10.0,100,2.110075
-10.0,100,2.136164
-10.0,100,2.162243
-10.0,100,2.188352
-10.0,100,2.214476
-10.0,100,2.241363
-3.6,47,2.253699
-10.0,100,2.279934
-10.0,100,2.306188
-10.0,100,2.332447
-10.0,100,2.35867
-10.0,100,2.384816
-10.0,100,2.410949
-10.0,100,2.436935
-10.0,100,2.463065
-10.0,100,2.489216
-10.0,100,2.515402
-10.0,100,2.541574
-10.0,100,2.567684
-10.0,100,2.593801
-10.0,100,2.620013
-10.0,100,2.646152
-10.0,100,2.672261
-10.0,100,2.698387
-10.0,100,2.724525
-10.0,100,2.750587
-10.0,100,2.776603
-10.0,100,2.802688
-10.0,100,2.828871
-10.0,100,2.855037
-10.0,100,2.881182
-10.0,100,2.907337
-10.0,100,2.933467
-10.0,100,2.959615
-10.0,100,2.985738
-10.0,100,3.011829
-10.0,100,3.037942
-10.0,100,3.064109
-10.0,100,3.090291
-10.0,100,3.116513
-10.0,100,3.14265
-10.0,100,3.1687
-10.0,100,3.194876
-10.0,100,3.221054
-10.0,100,3.247159
-10.0,100,3.273312
-10.0,100,3.299546
-10.0,100,3.325694
-10.0,100,3.351943
-10.0,100,3.3781
-10.0,100,3.404385
-10.0,100,3.430557
-10.0,100,3.456693
-10.0,100,3.48288
-10.0,100,3.509134
-10.0,100,3.535293
-10.0,100,3.561411
-10.0,100,3.587543
-10.0,100,3.613687
-10.0,100,3.639813
-1.4,25,3.646453
-10.0,100,3.67267
-10.0,100,3.698876
-5.3,64,3.715611
-8.0,91,3.739387
-10.0,100,3.765543
-10.0,100,3.791622
-10.0,100,3.817759
-10.0,100,3.843956
-10.0,100,3.87005
-10.0,100,3.896195
-10.0,100,3.922397
-10.0,100,3.948601
-10.0,100,3.974756
-10.0,100,4.000851
-10.0,100,4.026988
-10.0,100,4.053181
-10.0,100,4.079363
-10.0,100,4.105484
-10.0,100,4.131599
-10.0,100,4.157787
-10.0,100,4.183974
-10.0,100,4.210104
-10.0,100,22.618979
-10.0,100,22.645036
-10.0,100,22.671014
-10.0,100,22.697093
-10.0,100,22.723128
-10.0,100,22.749222
-10.0,100,22.775267
-10.0,100,22.801489
-10.0,100,22.827452
-10.0,100,22.853443
-10.0,100,22.879431
-10.0,100,22.905522
-10.0,100,22.931455
-10.0,100,22.95757
-10.0,100,22.983577
-10.0,100,23.009544
-10.0,100,23.035519
-10.0,100,23.061669
-10.0,100,23.087892
-10.0,100,23.114004
-10.0,100,23.140054
-10.0,100,23.166092
-10.0,100,23.192128
-10.0,100,23.218246
-10.0,100,23.244195
-10.0,100,23.270098
-10.0,100,23.296061
-10.0,100,23.32231
-10.0,100,23.348517
-0.4,15,23.352502
-10.0,100,23.3784
-10.0,100,23.404282
-10.0,100,23.430219
-10.0,100,23.456427
-10.0,100,23.482606
-10.0,100,23.508485
-10.0,100,23.534409
-10.0,100,23.560367
-10.0,100,23.586636
-10.0,100,23.612628
-10.0,100,23.638547
-10.0,100,23.664577
-10.0,100,23.69063
-10.0,100,23.716668
-10.0,100,23.742595
-10.0,100,23.768576
-10.0,100,23.794709
0.5,6,23.796363
-10.0,100,23.822592
-10.0,100,23.848753
-10.0,100,23.875021
-10.0,100,23.900952
-10.0,100,23.926794
-10.0,100,23.952666
-10.0,100,23.97863
-10.0,100,24.00458
-10.0,100,24.03041
-10.0,100,24.056523
-10.0,100,24.082756
-10.0,100,24.109026
-10.0,100,24.135271
-10.0,100,24.161627
-10.0,100,24.187874
-10.0,100,24.214214
-10.0,100,24.240427
-10.0,100,24.266734
-10.0,100,24.293246
-10.0,100,24.319625
-10.0,100,24.345916
-10.0,100,24.372243
-10.0,100,24.398781
-10.0,100,24.425083
-10.0,100,24.451435
-10.0,100,24.47771
-10.0,100,24.503965
-10.0,100,24.529972
-10.0,100,24.555884
-10.0,100,24.581761
-10.0,100,24.607587
-10.0,100,24.633706
-10.0,100,24.659675
