#{"t_start": 1663264075.4441235, "env_id": "InvertedPendulum-v2"}
r,l,t
9.0,9,0.220735
10.0,10,0.223667
10.0,10,0.226598
9.0,9,0.229271
9.0,9,0.231844
9.0,9,0.234401
10.0,10,0.237268
9.0,9,0.239842
9.0,9,0.242408
9.0,9,0.245026
10.0,10,0.464419
10.0,10,0.467297
9.0,9,0.469867
9.0,9,0.472439
9.0,9,0.474987
9.0,9,0.477535
9.0,9,0.480067
9.0,9,0.482624
9.0,9,0.485164
9.0,9,0.4877
10.0,10,0.701383
9.0,9,0.703949
9.0,9,0.706525
9.0,9,0.709074
10.0,10,0.711881
9.0,9,0.714435
9.0,9,0.71698
9.0,9,0.719536
9.0,9,0.722062
9.0,9,0.724605
9.0,9,0.936492
10.0,10,0.939319
9.0,9,0.941852
9.0,9,0.944394
9.0,9,0.946945
9.0,9,0.949492
9.0,9,0.952032
10.0,10,0.954844
9.0,9,0.957379
9.0,9,0.959912
10.0,10,1.177731
9.0,9,1.180321
9.0,9,1.182866
10.0,10,1.185688
9.0,9,1.188237
10.0,10,1.191041
9.0,9,1.193581
10.0,10,1.196408
9.0,9,1.198941
9.0,9,1.201488
9.0,9,1.418482
9.0,9,1.421052
9.0,9,1.423608
9.0,9,1.426154
9.0,9,1.428713
9.0,9,1.431266
9.0,9,1.433794
9.0,9,1.436348
10.0,10,1.439145
9.0,9,1.441678
10.0,10,1.652253
9.0,9,1.654832
9.0,9,1.657396
9.0,9,1.659936
10.0,10,1.66276
10.0,10,1.665575
9.0,9,1.668106
9.0,9,1.670645
9.0,9,1.673184
9.0,9,1.67572
10.0,10,1.885901
9.0,9,1.888479
9.0,9,1.891037
9.0,9,1.893592
9.0,9,1.896147
10.0,10,1.898957
9.0,9,1.901509
9.0,9,1.904068
10.0,10,1.906878
9.0,9,1.909423
9.0,9,2.120422
9.0,9,2.123012
10.0,10,2.125849
10.0,10,2.128685
9.0,9,2.13123
9.0,9,2.133757
10.0,10,2.13656
9.0,9,2.139101
9.0,9,2.141656
10.0,10,2.144458
9.0,9,2.367552
10.0,10,2.370415
10.0,10,2.373254
9.0,9,2.375834
9.0,9,2.378411
9.0,9,2.38097
9.0,9,2.383553
9.0,9,2.38613
9.0,9,2.388678
9.0,9,2.391241
17.0,17,5.71829
17.0,17,5.723121
16.0,16,5.727604
18.0,18,5.732569
17.0,17,5.737231
17.0,17,5.741891
17.0,17,5.746554
18.0,18,5.751487
17.0,17,5.756164
17.0,17,5.760825
38.0,38,8.977564
38.0,38,8.987876
38.0,38,8.99812
38.0,38,9.008326
39.0,39,9.01878
37.0,37,9.02873
37.0,37,9.038706
41.0,41,9.049723
40.0,40,9.060439
39.0,39,9.070926
45.0,45,12.170847
46.0,46,12.183238
45.0,45,12.195393
47.0,47,12.208199
46.0,46,12.220554
47.0,47,12.233216
47.0,47,12.245867
47.0,47,12.258538
47.0,47,12.271171
47.0,47,12.283698
56.0,56,15.449952
60.0,60,15.466083
60.0,60,15.482124
59.0,59,15.49787
60.0,60,15.513861
58.0,58,15.529326
60.0,60,15.545305
70.0,70,15.563879
61.0,61,15.580074
59.0,59,15.59575
44.0,44,18.889301
46.0,46,18.901712
45.0,45,18.913859
45.0,45,18.925934
46.0,46,18.938257
45.0,45,18.95031
47.0,47,18.962846
47.0,47,18.975418
47.0,47,18.987937
46.0,46,19.00025
46.0,46,22.197936
45.0,45,22.210074
45.0,45,22.222239
47.0,47,22.234923
47.0,47,22.247617
50.0,50,22.261066
48.0,48,22.273949
47.0,47,22.286528
45.0,45,22.298599
47.0,47,22.311234
47.0,47,25.394714
46.0,46,25.407095
47.0,47,25.419967
47.0,47,25.432568
46.0,46,25.444907
50.0,50,25.458273
50.0,50,25.471619
47.0,47,25.484154
47.0,47,25.496676
48.0,48,25.509471
57.0,57,28.732725
59.0,59,28.748595
57.0,57,28.763838
58.0,58,28.779355
59.0,59,28.795114
59.0,59,28.810815
59.0,59,28.826493
60.0,60,28.842471
58.0,58,28.857859
59.0,59,28.873584
59.0,59,32.036238
59.0,59,32.052057
56.0,56,32.067164
56.0,56,32.082152
57.0,57,32.097397
58.0,58,32.112845
54.0,54,32.12733
59.0,59,32.143028
52.0,52,32.156875
57.0,57,32.17206
51.0,51,35.384418
52.0,52,35.39847
58.0,58,35.414047
54.0,54,35.428533
53.0,53,35.442694
58.0,58,35.458163
52.0,52,35.472053
55.0,55,35.486706
55.0,55,35.501387
56.0,56,35.516387
50.0,50,38.729484
49.0,49,38.742717
54.0,54,38.757192
54.0,54,38.771667
52.0,52,38.785591
50.0,50,38.798941
50.0,50,38.812267
47.0,47,38.824805
47.0,47,38.837344
50.0,50,38.850716
55.0,55,42.0391
56.0,56,42.054222
55.0,55,42.068906
53.0,53,42.083087
63.0,63,42.099861
54.0,54,42.114241
54.0,54,42.128633
55.0,55,42.143415
57.0,57,42.158543
53.0,53,42.17267
66.0,66,45.392625
58.0,58,45.408273
61.0,61,45.424652
66.0,66,45.442358
61.0,61,45.458677
59.0,59,45.47441
62.0,62,45.490906
63.0,63,45.507649
63.0,63,45.524431
57.0,57,45.539716
71.0,71,48.601793
72.0,72,48.620871
70.0,70,48.639471
69.0,69,48.657714
62.0,62,48.674144
61.0,61,48.69029
74.0,74,48.709843
97.0,97,48.73538
75.0,75,48.755188
67.0,67,48.772886
106.0,106,52.160156
129.0,129,52.194391
90.0,90,52.218308
86.0,86,52.241206
173.0,173,52.287071
104.0,104,52.314707
87.0,87,52.337832
95.0,95,52.363056
100.0,100,52.389656
105.0,105,52.417451
107.0,107,55.521873
116.0,116,55.552563
84.0,84,55.574852
117.0,117,55.605857
129.0,129,55.639947
122.0,122,55.672303
122.0,122,55.704587
176.0,176,55.751064
119.0,119,55.782617
179.0,179,55.829827
218.0,218,58.931752
127.0,127,58.965293
208.0,208,59.020039
1000.0,1000,59.281788
721.0,721,59.470554
1000.0,1000,59.733381
226.0,226,59.792885
153.0,153,59.833287
274.0,274,59.905464
437.0,437,60.019844
1000.0,1000,62.349455
1000.0,1000,62.610311
307.0,307,62.690684
1000.0,1000,62.951565
1000.0,1000,63.212241
813.0,813,63.426977
873.0,873,63.654699
1000.0,1000,63.915935
1000.0,1000,64.177036
1000.0,1000,64.438717
1000.0,1000,67.131103
1000.0,1000,67.393038
1000.0,1000,67.654998
1000.0,1000,67.919392
1000.0,1000,68.181095
1000.0,1000,68.443834
1000.0,1000,68.706805
1000.0,1000,68.969564
1000.0,1000,69.231889
1000.0,1000,69.493581
1000.0,1000,72.925473
1000.0,1000,73.186611
1000.0,1000,73.447749
1000.0,1000,73.709158
1000.0,1000,73.970514
1000.0,1000,74.231183
1000.0,1000,74.491995
1000.0,1000,74.753217
1000.0,1000,75.014127
1000.0,1000,75.276279
1000.0,1000,78.702298
1000.0,1000,78.963565
1000.0,1000,79.224825
1000.0,1000,79.485876
1000.0,1000,79.747377
1000.0,1000,80.008648
1000.0,1000,80.269251
1000.0,1000,80.530022
1000.0,1000,80.790922
1000.0,1000,81.051552
1000.0,1000,84.476422
1000.0,1000,84.739551
1000.0,1000,85.001202
1000.0,1000,85.26301
1000.0,1000,85.524953
1000.0,1000,85.787237
1000.0,1000,86.048677
1000.0,1000,86.310388
1000.0,1000,86.57189
1000.0,1000,86.834157
1000.0,1000,90.259499
1000.0,1000,90.521342
1000.0,1000,90.783855
1000.0,1000,91.045371
1000.0,1000,91.307021
1000.0,1000,91.568339
1000.0,1000,91.829609
1000.0,1000,92.090843
1000.0,1000,92.351935
1000.0,1000,92.613403
1000.0,1000,96.038738
1000.0,1000,96.299731
1000.0,1000,96.56063
1000.0,1000,96.821633
1000.0,1000,97.082299
1000.0,1000,97.342213
1000.0,1000,97.602205
1000.0,1000,97.862808
1000.0,1000,98.122787
1000.0,1000,98.382988
1000.0,1000,101.808572
1000.0,1000,102.069608
1000.0,1000,102.330517
1000.0,1000,102.59172
1000.0,1000,102.853339
1000.0,1000,103.11421
1000.0,1000,103.375241
1000.0,1000,103.63604
1000.0,1000,103.89718
1000.0,1000,104.158423
1000.0,1000,107.58382
1000.0,1000,107.845599
1000.0,1000,108.107534
1000.0,1000,108.369502
1000.0,1000,108.631233
1000.0,1000,108.892381
1000.0,1000,109.153584
1000.0,1000,109.415041
1000.0,1000,109.676517
1000.0,1000,109.938143
1000.0,1000,113.360955
1000.0,1000,113.620367
1000.0,1000,113.879318
1000.0,1000,114.13834
1000.0,1000,114.398118
1000.0,1000,114.658484
1000.0,1000,114.91871
1000.0,1000,115.178211
1000.0,1000,115.438635
1000.0,1000,115.698064
1000.0,1000,119.122157
1000.0,1000,119.383328
1000.0,1000,119.645094
1000.0,1000,119.90687
1000.0,1000,120.168668
1000.0,1000,120.431483
1000.0,1000,120.693829
1000.0,1000,120.955652
1000.0,1000,121.217189
1000.0,1000,121.478051
1000.0,1000,124.904114
1000.0,1000,125.166837
1000.0,1000,125.43009
1000.0,1000,125.693323
1000.0,1000,125.956748
1000.0,1000,126.219797
1000.0,1000,126.482786
1000.0,1000,126.745866
1000.0,1000,127.009982
1000.0,1000,127.273536
1000.0,1000,130.700281
1000.0,1000,130.962047
1000.0,1000,131.223344
1000.0,1000,131.484423
1000.0,1000,131.745805
1000.0,1000,132.007062
1000.0,1000,132.26845
1000.0,1000,132.529717
1000.0,1000,132.790925
1000.0,1000,133.052188
1000.0,1000,136.479164
1000.0,1000,136.740682
1000.0,1000,137.002244
1000.0,1000,137.2635
1000.0,1000,137.524557
1000.0,1000,137.785324
1000.0,1000,138.046269
1000.0,1000,138.306819
1000.0,1000,138.567395
1000.0,1000,138.828794
1000.0,1000,142.255249
1000.0,1000,142.51626
1000.0,1000,142.777049
1000.0,1000,143.03749
1000.0,1000,143.298053
1000.0,1000,143.558506
1000.0,1000,143.819797
1000.0,1000,144.080633
1000.0,1000,144.341499
1000.0,1000,144.602587
1000.0,1000,148.02773
1000.0,1000,148.288711
1000.0,1000,148.549743
1000.0,1000,148.810541
1000.0,1000,149.071554
1000.0,1000,149.331746
1000.0,1000,149.591439
1000.0,1000,149.851055
1000.0,1000,150.110943
1000.0,1000,150.371851
1000.0,1000,153.798935
1000.0,1000,154.061745
1000.0,1000,154.321397
1000.0,1000,154.58156
1000.0,1000,154.84191
1000.0,1000,155.101989
1000.0,1000,155.361979
1000.0,1000,155.621452
1000.0,1000,155.880836
1000.0,1000,156.140776
1000.0,1000,159.562956
1000.0,1000,159.823552
1000.0,1000,160.0842
1000.0,1000,160.344707
1000.0,1000,160.605163
1000.0,1000,160.865048
1000.0,1000,161.125032
1000.0,1000,161.385031
1000.0,1000,161.645151
1000.0,1000,161.90512
1000.0,1000,165.32667
1000.0,1000,165.586975
1000.0,1000,165.847193
1000.0,1000,166.107914
1000.0,1000,166.368232
1000.0,1000,166.62938
1000.0,1000,166.890692
1000.0,1000,167.151499
1000.0,1000,167.41262
1000.0,1000,167.672817
1000.0,1000,171.089512
1000.0,1000,171.350426
1000.0,1000,171.611603
1000.0,1000,171.872958
1000.0,1000,172.13395
1000.0,1000,172.394798
1000.0,1000,172.656022
1000.0,1000,172.917082
1000.0,1000,173.177798
1000.0,1000,173.438497
1000.0,1000,176.862828
1000.0,1000,177.124067
1000.0,1000,177.385217
1000.0,1000,177.646013
1000.0,1000,177.906823
1000.0,1000,178.167598
1000.0,1000,178.427847
1000.0,1000,178.688228
1000.0,1000,178.948323
1000.0,1000,179.209254
1000.0,1000,182.63459
1000.0,1000,182.895296
1000.0,1000,183.155706
1000.0,1000,183.416156
1000.0,1000,183.676086
1000.0,1000,183.936128
1000.0,1000,184.196694
1000.0,1000,184.458227
1000.0,1000,184.719178
1000.0,1000,184.980843
1000.0,1000,188.409803
1000.0,1000,188.672127
1000.0,1000,188.934105
1000.0,1000,189.19563
1000.0,1000,189.457506
1000.0,1000,189.720052
1000.0,1000,189.982484
1000.0,1000,190.245128
1000.0,1000,190.507835
1000.0,1000,190.770182
1000.0,1000,194.196967
1000.0,1000,194.45879
1000.0,1000,194.720597
1000.0,1000,194.982231
1000.0,1000,195.243513
1000.0,1000,195.506079
1000.0,1000,195.768884
1000.0,1000,196.031713
1000.0,1000,196.294866
1000.0,1000,196.556714
1000.0,1000,199.980559
1000.0,1000,200.242417
1000.0,1000,200.503986
1000.0,1000,200.765472
1000.0,1000,201.026857
1000.0,1000,201.288135
1000.0,1000,201.549792
1000.0,1000,201.811466
1000.0,1000,202.072939
1000.0,1000,202.335154
1000.0,1000,205.759881
1000.0,1000,206.022341
1000.0,1000,206.284285
