#{"t_start": 1663308843.0377326, "env_id": "PredatorPrey-v0"}
r,l,t
-10.0,100,1.660348
-10.0,100,1.686331
-10.0,100,1.712103
-10.0,100,1.737868
-10.0,100,1.763545
-10.0,100,1.789183
-10.0,100,1.814811
-10.0,100,1.840496
-10.0,100,1.866159
-10.0,100,1.891822
-10.0,100,1.917413
-10.0,100,1.942983
-10.0,100,1.968611
-10.0,100,1.994264
-10.0,100,2.019969
-10.0,100,2.045608
-10.0,100,2.071176
-10.0,100,2.096859
-10.0,100,2.122482
-10.0,100,2.148068
-10.0,100,2.17372
-10.0,100,2.199345
-10.0,100,2.22496
-10.0,100,2.250592
-10.0,100,2.276206
-10.0,100,2.301827
-10.0,100,2.327521
-10.0,100,2.353247
-10.0,100,2.378952
-10.0,100,2.404752
-10.0,100,2.430553
-10.0,100,2.456258
-10.0,100,2.482554
-10.0,100,2.508199
-10.0,100,2.533782
-10.0,100,2.559396
-10.0,100,2.585041
-10.0,100,2.610609
-10.0,100,2.6362
-10.0,100,2.661782
-10.0,100,2.687368
-10.0,100,2.712987
-10.0,100,2.738615
-10.0,100,2.764237
-10.0,100,2.789866
-10.0,100,2.815493
-10.0,100,2.84114
-10.0,100,2.86673
-10.0,100,2.892384
-10.0,100,2.918004
-10.0,100,2.943611
-10.0,100,2.969152
-10.0,100,2.994847
-10.0,100,3.020516
-10.0,100,3.046166
-10.0,100,3.071779
-10.0,100,3.097491
-10.0,100,3.123044
-10.0,100,3.148654
-3.6,47,3.160723
-10.0,100,3.186361
-10.0,100,3.211933
-10.0,100,3.237501
-10.0,100,3.262995
-10.0,100,3.288561
-10.0,100,3.314169
-10.0,100,3.339768
-10.0,100,3.365392
-10.0,100,3.391088
-10.0,100,3.416808
0.6,5,3.418178
-10.0,100,3.44415
-10.0,100,3.469818
-10.0,100,3.495409
-10.0,100,3.521038
-10.0,100,3.546594
-10.0,100,3.572089
-10.0,100,3.597697
-10.0,100,3.623287
-10.0,100,3.649968
-10.0,100,3.675558
-10.0,100,3.70113
-10.0,100,3.726802
-10.0,100,3.752432
